Akiná,English
soná,person
go,quick
oda,brown
si,is
yani,lazy
wofu,dog
nisu,fox
i,tail
ni,this
ito,thing
dimitó,divide
,furnish
,room
,were
,illuminate
,every
,follow
,street
,morning
,lay
,evening
,comfortable
,which
,from
,airy
,sherlock
,move
,inspecte
,be
,rooms
,two
,entere
,we
,as
,boxes
,spot
,so
,arrange
,began
,settle
,round
,gradual
,had
,seem
,they
,very
,a
,large
,cheerful
,with
,desirable
,employe
,baker
,next
,apartments
,hotel
,done
,meet
,for
,no
,new
,couple
,to
,conclude
,our
,property
,spoken
,portmanteaus
,several
,i
,single
,did
,between
,moderate
,was
,down
,terms
,of
,out
,in
,upon
,accommodate
,when
,ourselves
,advantage
,consiste
,once
,he
,my
,windows
,bargain
,that
,best
,met
,me
,into
,possession
,day
,unpack
,broad
,on
,way
,us
